Biotic (Y/N),fCO2,fCO,fH2,fCH4,fO2,fO3,fN2,fH2O,Pressure (bar),Stellar Mass,,Temp,Reference/Notes,,,
Y,1.00E-02,4.79E-07,,5.93E-05,2.10E-01,8.05E-09,7.78E-01,1.60E-03,1,1,,260.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.42E-07,,7.39E-05,5.00E-02,3.49E-09,9.38E-01,1.58E-03,1,1,,260.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.70E-07,,4.56E-05,5.00E-03,2.79E-09,9.83E-01,1.57E-03,1,1,,260,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.24E-07,,3.32E-05,5.00E-04,5.25E-09,9.88E-01,1.50E-03,1,1,,259.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.20E-07,,2.21E-05,1.00E-01,5.39E-09,8.88E-01,2.22E-03,1,0.75,,264,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.00E-07,,2.28E-05,1.00E-02,2.21E-09,9.78E-01,2.13E-03,1,0.75,,263.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,3.35E-07,,2.79E-05,1.00E-03,1.57E-09,9.87E-01,2.00E-03,1,0.75,,262.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.88E-07,,3.67E-05,1.00E-04,1.17E-09,9.87E-01,2.77E-03,1,0.75,,266.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.47E-07,,1.47E-05,2.10E-01,7.85E-09,7.78E-01,2.18E-03,1,0.75,,263.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.49E-07,,2.63E-05,5.00E-02,3.88E-09,9.38E-01,2.24E-03,1,0.75,,264,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.11E-07,,2.35E-05,5.00E-03,1.87E-09,9.83E-01,2.11E-03,1,0.75,,263.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.99E-07,,3.28E-05,5.00E-04,1.47E-09,9.87E-01,2.17E-03,1,0.75,,263.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.26E-06,,2.68E-04,1.00E-01,3.85E-09,8.87E-01,2.90E-03,1,0.75,,267,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.58E-06,,1.94E-04,1.00E-02,1.18E-09,9.77E-01,2.64E-03,1,0.75,,265.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.17E-06,,1.39E-04,1.00E-03,8.40E-10,9.87E-01,2.36E-03,1,0.75,,264.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.97E-06,,1.79E-04,1.00E-04,4.56E-10,9.87E-01,3.08E-03,1,0.75,,267.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.19E-06,,2.48E-04,2.10E-01,5.38E-09,7.77E-01,2.85E-03,1,0.75,,266.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,2.11E-06,,2.66E-04,5.00E-02,2.52E-09,9.37E-01,2.76E-03,1,0.75,,266.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.42E-06,,1.73E-04,5.00E-03,1.06E-09,9.82E-01,2.55E-03,1,0.75,,265.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.22E-06,,1.36E-04,5.00E-04,6.93E-10,9.87E-01,2.57E-03,1,0.75,,265.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.33E-07,,9.25E-05,1.00E-01,4.73E-09,8.87E-01,2.59E-03,1,0.75,,265.7,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.23E-07,,7.75E-05,1.00E-02,1.51E-09,9.78E-01,2.40E-03,1,0.75,,264.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.13E-07,,6.11E-05,1.00E-03,1.07E-09,9.87E-01,2.16E-03,1,0.75,,263.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.76E-07,,7.47E-05,1.00E-04,7.20E-10,9.87E-01,2.90E-03,1,0.75,,267,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.18E-07,,7.51E-05,2.10E-01,6.68E-09,7.77E-01,2.55E-03,1,0.75,,265.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.33E-07,,1.00E-04,5.00E-02,3.21E-09,9.37E-01,2.53E-03,1,0.75,,265.4,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.72E-07,,7.08E-05,5.00E-03,1.29E-09,9.83E-01,2.34E-03,1,0.75,,264.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,5.76E-07,,6.20E-05,5.00E-04,9.55E-10,9.87E-01,2.35E-03,1,0.75,,264.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.22E-06,,1.41E-04,1.00E-01,4.40E-09,8.87E-01,2.70E-03,1,0.75,,266.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.75E-07,,1.09E-04,1.00E-02,1.37E-09,9.77E-01,2.48E-03,1,0.75,,265.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,6.82E-07,,8.20E-05,1.00E-03,9.78E-10,9.87E-01,2.23E-03,1,0.75,,264,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.12E-06,,1.00E-04,1.00E-04,6.20E-10,9.87E-01,2.98E-03,1,0.75,,267.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.12E-06,,1.21E-04,2.10E-01,6.22E-09,7.77E-01,2.67E-03,1,0.75,,266.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.18E-06,,1.46E-04,5.00E-02,2.95E-09,9.37E-01,2.62E-03,1,0.75,,265.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.94E-07,,9.82E-05,5.00E-03,1.19E-09,9.82E-01,2.42E-03,1,0.75,,264.9,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,7.30E-07,,8.17E-05,5.00E-04,8.50E-10,9.87E-01,2.41E-03,1,0.75,,264.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.51E-07,,1.49E-05,1.00E-01,5.39E-09,8.88E-01,2.13E-03,1,0.75,,263.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.43E-07,,1.55E-05,1.00E-02,2.51E-09,9.78E-01,2.07E-03,1,0.75,,263.1,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.07E-06,,3.30E-05,1.00E-04,1.38E-09,9.87E-01,2.86E-03,1,0.75,,266.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.98E-07,,2.44E-05,1.00E-03,2.21E-09,9.86E-01,2.62E-03,1,0.75,,265.8,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,9.54E-08,,9.59E-06,2.10E-01,7.92E-09,7.78E-01,2.09E-03,1,0.75,,263.2,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.76E-07,,1.79E-05,5.00E-02,3.95E-09,9.38E-01,2.16E-03,1,0.75,,263.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.60E-07,,1.69E-05,5.00E-03,2.10E-09,9.83E-01,1.97E-03,1,0.75,,262.6,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,4.60E-07,,2.60E-05,5.00E-04,1.61E-09,9.88E-01,1.96E-03,1,0.75,,262.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.66E-06,,1.95E-04,1.00E-01,4.11E-09,8.87E-01,2.79E-03,1,0.75,,266.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.17E-06,,1.45E-04,1.00E-02,1.26E-09,9.77E-01,2.54E-03,1,0.75,,265.5,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,8.86E-07,,1.06E-04,1.00E-03,9.12E-10,9.87E-01,2.30E-03,1,0.75,,264.3,Giada N. Arney 2019 ApJL,,,
Y,1.00E-02,1.57E-06,,1.75E-04,2.10E-01,5.80E-09,7.77E-01,2.76E-03,1,0.75,,266.4,Giada N. Arney 2019 ApJL,,,
